原文	改后	次数	类型
叔尼	书尼	3	译名
叔巴耳	细布业	6	译名
叔拉米特	书拉密	2	译名
叔提雅人	西古提	2	译名
叔特拉	书提拉	6	译名
叔罕	书含	3	译名
叔能	书念	11	译名
叔阿耳	书亚	2	译名
叙尔提	赛耳底	1	译名
古士	古实	1	译名
古尔巴耳	姑珥巴力	1	译名
古尼	沽尼	1	译名
古德哥达	谷歌大	2	译名
史冷	示冷	3	译名
史加龙	施基仑	1	译名
史匝	示撒	1	译名
史孟	示门	1	译名
史斐米	实弗米	1	译名
史斐辣	施弗拉	1	译名
史曷尔	西曷	2	译名
史曼	示米暗	1	译名
史沙克	示撒	8	译名
史特赖	施提赉	1	译名
史玛	示米暗	1	按语境区分译名
史米	示每	51	按语境区分译名
史米	示每	1	译名
史米	西美	2	按语境区分译名
史纳尔	示拿	8	译名
史纳布	示纳	1	译名
史罗	示罗	39	译名
史罗亚	西罗亚	6	译名
史耳新	实忻	1	译名
史耳沙	施沙	1	译名
史肋希	示利希	2	译名
史雍	示按	1	译名
史非	示非	2	译名
史默亚	示米亚	10	译名
史默瑟	伸帅	4	译名
史默红	西缅	1	译名
史默辣特	申拉	1	译名
史默阿特	示米押	2	译名
史默黎	申利	5	译名
史默黎特	示米利	1	译名
史默龙	伸仑	7	译名
叶瑟	耶西	50	译名
吕撒尼雅	吕撒聂	1	译名
吕斯特辣	路司得	6	译名
吕考尼雅	吕高尼	2	译名
君王山谷	王谷	1	意译地名
吴尔巴诺	耳巴奴	1	译名
哈丕责兹	哈辟悉	1	译名
哈乃斯	哈内斯	1	译名
哈依	艾	44	译名
哈兹洛特	哈洗录	3	译名
哈兹肋耳颇尼	哈悉勒玻尼	1	译名
哈农	哈嫩	11	译名
哈则洛特	哈洗录	1	译名
哈刻达玛	亚革大马	1	译名
哈加多耳	哈基多琳	1	译名
哈加尔	夏甲	18	译名
哈加巴	哈迦巴	2	译名
哈加布	哈甲	1	译名
哈加里雅	哈迦利亚	2	译名
哈勒夫	哈勒	1	译名
哈匝叔阿耳	哈萨书亚	1	译名
哈匝宗塔玛尔	哈洗逊他玛	2	译名
哈匝尔加达	哈萨迦大	1	译名
哈匝尔厄南	哈萨以难	5	译名
哈匝尔叔阿耳	哈萨书亚	3	译名
哈匝尔稣心	哈萨苏撒	1	译名
哈匝尔稣撒	哈萨苏撒	1	译名
哈匝尔阿达尔	哈萨亚达	1	译名
哈匝玛委特	哈萨玛非	2	译名
哈匝耳	哈薛	26	译名
哈匝雅	哈赛雅	2	译名
哈匝黎雅	亚撒列夫	1	译名
哈协巴达纳	哈拔大拿	1	译名
哈南	哈难	12	按语境区分译名
哈卡堂	哈加坦	1	译名
哈叔巴	哈舒巴	1	译名
哈叔布	哈述	7	译名
哈基特	哈及	5	译名
哈塔客	哈他革	5	译名
哈塔特	哈塔	1	译名
哈威拉	哈腓拉	7	译名
哈孟	哈们	3	译名
哈尔乃费尔	哈尼弗	1	译名
