原文	改后	次数	类型
米特达特	米提利达	1	按语境区分译名
米特达特	米特利达	1	按语境区分译名
米耳公	玛勒堪	3	按语境区分译名
米耳公	米勒公	3	按语境区分译名
米耳公	米勒公	2	译名
米耳加	密迦	11	译名
米肋托	米利都	3	译名
米舍曼纳	弥施玛拿	1	译名
米该亚	弥迦	3	译名
米贝匝尔	米比萨	2	译名
米贝哈尔	弥伯哈	1	译名
米贝散	米比衫	4	译名
米辣	每拉	1	译名
米雅明	米雅民	4	译名
米革多耳	密夺	6	译名
米革玛士	密抹	1	译名
米革玛斯	密抹	12	译名
米革达耳加得	麦大迦得	1	译名
米革达耳厄德尔	以得台	1	译名
米革达肋耳	密大伊勒	1	译名
米革黎	米基立	1	译名
米革默塔特	密米他	2	译名
米革龙	米矶仑	1	译名
米黎盎	米利暗	15	译名
索哥	梭哥	1	译名
索多玛	所多玛	57	译名
索帕特尔	所巴特	1	译名
索息帕托	所西巴德	2	译名
索息帕特	所西巴德	1	译名
索斯特乃	所提尼	2	译名
索泰	琐太	2	译名
索狄	梭底	1	译名
索福尼亚	西番雅	2	译名
索苛	梭哥	6	译名
索费勒特	琐斐列	2	译名
索阿	梭	1	译名
约但	约旦	207	译名
约刻乃罕	约念	4	译名
约刻商	约珊	4	译名
约刻堂	约坍	6	译名
约刻德罕	约甸	1	译名
约刻特耳	约帖	2	译名
约刻默罕	约缅	2	译名
约匝加尔	约撒甲	1	译名
约匝巴得	约撒拔	10	按语境区分译名
约匝巴得	约萨拔	4	按语境区分译名
约匝达克	约撒答	6	按语境区分译名
约匝达克	约撒达	1	按语境区分译名
约匝达克	约萨达	4	按语境区分译名
约匝达克	约萨达	3	译名
约厄则尔	约以谢	1	译名
约厄得	约叶	2	译名
约厄拉	犹拉	1	译名
约厄耳	约珥	23	译名
约叔亚	约书亚	3	译名
约史贝雅	约示比	2	译名
约史雅	约西亚	67	译名
约哈南	约亚拿	2	按语境区分译名
约哈南	约哈难	33	按语境区分译名
约哈南	约哈难	2	译名
约培	约帕	28	译名
约堂	约坦	31	译名
约安纳	约亚拿	2	译名
约尔刻罕	约干	1	译名
约巴布	约巴	9	译名
约市贝卡沙	约施比加沙	2	译名
约息非雅	约细斐	1	译名
约楞	约令	2	译名
约沙委雅	约沙未雅	1	译名
约沙法特	约沙法	92	译名
约沙特	约沙法	1	译名
约特巴达	约巴他	3	译名
约特赖	耶特赖	1	译名
约纳	约拿	43	译名
约纳堂	约拿单	228	译名
约纳的儿子	巴约拿	1	译名
约纳达布	约拿达	15	译名
约肯	约敬	1	译名
约舍巴	约示巴	3	译名
约色夫	约瑟	8	译名
约色黑	约瑟	2	译名
约辣	约拉	1	译名
约达	犹大	2	译名
约阿哈次	约哈斯	24	译名
约阿士	约阿施	50	译名
约阿布	约押	152	译名
约阿当	约耶但	2	译名
约阿达	耶何阿达	4	译名
约阿黑	约亚	12	译名
约雅达	耶何耶大	58	译名
约雅金	约雅敬	38	按语境区分译名
约雅金	约雅敬	12	译名
约雅黎布	约雅立	6	按语境区分译名
约雅黎布	耶何雅立	2	按语境区分译名
约革波哈	约比哈	2	译名
约革贝得	约基别	2	译名
约革里	约利	1	译名
纳匝肋	拿撒勒	31	译名
纳哈士	拿辖	8	译名
纳哈拉耳	拿哈拉	2	译名
纳哈特	拿哈	4	译名
纳哈玛尼	拿哈玛尼	2	译名
纳哈里耳	拿哈列	2	译名
纳因	拿因	1	译名
纳堂	拿单	46	译名
纳塔乃耳	拿但业	6	译名
纳尔基索	拿其数	1	译名
纳巴耳	拿八	23	译名
纳托法	尼陀法	1	译名
纳敖米	拿俄米	25	译名
纳斐培里	拿弗他利	1	译名
纳斐塔里	拿弗他利	60	译名
纳斐突歆	拿弗土希	2	译名
纳曷尔	拿鹤	22	译名
纳波特	拿伯	23	译名
纳洪	拿鸿	2	译名
纳约特	拿约	6	译名
纳菲士	拿非施	3	译名
纳贡	拿艮	1	按语境区分译名
纳赫彼	拿比	1	译名
纳赫赖	拿哈莱	2	译名
纳赫雄	拿顺	14	译名
纳达布	拿答	26	译名
纳阿曼	乃幔	5	按语境区分译名
纳阿曼	乃幔	1	译名
纳阿曼	乃缦	18	按语境区分译名
纳阿玛	拿玛	10	译名
纳阿赖	拿莱	1	译名
纳阿辣	拿拉	4	译名
纳阿郎	拿兰	1	译名
纳革	拿该	2	译名
纳鸿	那鸿	1	按语境区分译名
纳鸿	那鸿	2	译名
组斤	苏西	1	译名
罗依	罗以	1	译名
罗堂	罗坍	7	译名
罗得	罗德	4	译名
罗德巴尔	罗底巴	5	译名
罗特	罗得	48	译名
罗鲁阿玛	罗路哈玛	3	译名
美索不达米亚	米所波大米	1	译名
翁	亚文	1	按语境区分译名
翁	安	1	按语境区分译名
翁	安	5	译名
翁尼	乌尼	2	译名
耕格勒	坚革哩	2	译名
耶乌兹	耶乌斯	1	译名
耶乌士	耶乌施	9	译名
耶乌耳	耶乌利	1	按语境区分译名
耶乌耳	耶利	1	按语境区分译名
耶依耳	耶利	9	译名
耶则尔	伊以谢	2	按语境区分译名
耶则尔	耶色	3	按语境区分译名
耶则尔	耶色	1	译名
耶加尔、撒哈杜达	伊迦尔撒哈杜他	1	译名
耶勒买	耶利买	1	译名
耶勒得	雅列	9	译名
耶勒摩特	耶利摩	1	按语境区分译名
耶勒摩特	耶利末	4	按语境区分译名
耶勒米雅	耶利米	10	译名
耶匝达	瓦耶撒他	1	译名
耶卡米雅	耶加米	3	译名
耶卡默罕	耶加面	1	译名
耶厄耳	耶利	2	译名
耶叔亚	约书亚	12	按语境区分译名
耶叔亚	耶书亚	29	按语境区分译名
耶叔亚	耶书亚	2	译名
耶叔戎	耶书仑	4	译名
耶史赛	耶示筛	2	译名
耶太特	耶帖	2	译名
耶孚乃	耶孚尼	17	译名
耶希耳	耶希伊利	2	按语境区分译名
耶希耳	耶歇	15	按语境区分译名
耶息米耳	耶西篾	1	译名
耶慕耳	耶母利	2	译名
耶撒纳	耶沙拿	1	译名
耶斐特	雅弗	14	译名
耶曷兰	约兰	29	译名
耶曷阿士	约阿施	24	译名
耶杜通	耶杜顿	17	译名
耶步斯	耶布斯	8	译名
耶步斯人	耶布斯人	38	译名
耶沙勒拉	耶萨利拉	1	译名
耶洛罕	耶罗罕	14	译名
耶特尔	以帖	1	按语境区分译名
耶特尔	益兰	1	按语境区分译名
耶特尔	益帖	8	按语境区分译名
耶特洛	叶忒罗	10	译名
耶狄厄耳	耶叠	5	译名
耶狄狄雅	耶底底亚	1	译名
耶狄达	耶底大	1	译名
耶狄阿耳	耶叠	1	译名
耶突尔	伊突	3	译名
耶米尼	便雅悯	1	译名
耶肋米亚	耶利米	151	译名
耶肋米雅	耶利米	1	译名
耶胡	耶户	83	译名
耶胡得	伊胡得	1	译名
耶舍尔	耶设	1	译名
耶舍贝阿布	耶是比押	1	译名
耶芍哈雅	约朔海	1	译名
耶苛尼雅	约雅斤	13	按语境区分译名
耶苛尼雅	耶哥尼雅	8	按语境区分译名
耶苛尼雅	耶哥尼雅	7	译名
耶苛里雅	耶可利雅	2	译名
耶谷提耳	耶古铁	1	译名
耶赫次刻耳	以西结	1	译名
耶赫狄雅	耶希底亚	2	译名
耶路罕	耶罗罕	1	译名
耶辣	耶拉	2	译名
耶辣希雅	伊斯拉希雅	1	译名
耶辣颇里	希拉波立	1	译名
耶辣默耳	耶拉篾	10	译名
耶达雅	耶大雅	12	译名
耶里哥	耶利哥	73	译名
耶鲁沙	耶路沙	2	译名
耶鲁耳	耶鲁伊勒	1	译名
耶黎拜	耶利拜	1	译名
耶黎摩特	耶利摩	8	按语境区分译名
耶黎摩特	耶利末	1	按语境区分译名
耶黎敖特	耶略	1	译名
耶黎耳	耶勒	1	译名
耶齐耳	耶薛	1	译名
肋乌明	利乌米	1	译名
肋加	利迦	1	译名
肋哈宾	利哈比	2	译名
肋巴敖特	利巴勿	1	译名
肋巴纳	利巴拿	2	译名
肋希	利希	6	译名
肋慕耳	利慕伊勒	3	译名
肋未	利未	383	译名
肋末	利未	3	译名
肋沙	拉沙	1	译名
肋波纳	利波拿	1	译名
肋突兴	利都是	1	译名
肋笙	利善	2	译名
肋阿	利亚	42	译名
胡兰阿彼	户兰	2	译名
胡兹	乌斯	3	译名
胡商	户珊	4	译名
胡尔	户珥	17	译名
胡帕	胡巴	1	译名
胡平	户品	1	按语境区分译名
胡平	户平	1	译名
胡沙	户沙	1	译名
胡沙人	户沙人	5	译名
胡瑟	户筛	13	译名
胡生	户伸	4	译名
胡番	户兰	1	按语境区分译名
胡番	户反	2	按语境区分译名
胡科克	户割	2	译名
胡耳	户勒	2	译名
胡耳达	户勒大	3	译名
胡赖	户莱	1	译名
胡黎	户利	2	译名
胡默达	宏他	1	译名
腓尼基	非尼基	6	译名
腓尼斯	菲尼基	2	译名
舍佛	示玻	1	译名
舍加尼雅	示迦尼	10	译名
舍勒士	示利施	2	译名
舍勒彼雅	示利比	7	译名
舍厄辣	舍伊拉	1	译名
舍哈黎雅	示哈利	1	译名
舍商	示珊	5	译名
舍塔尔	示达	1	译名
舍巴	示巴	38	译名
舍巴尼雅	示巴尼	7	译名
舍巴陵	示巴琳	1	译名
舍市巴匝	设巴萨	4	译名
舍布纳	舍伯那	9	译名
舍德乌尔	示丢珥	5	译名
舍慕耳	示母利	2	译名
舍拉	沙拉	5	按语境区分译名
舍拉	沙拉	6	译名
舍拉	示拉	4	按语境区分译名
舍拉	示拉	7	译名
舍斐尔	沙斐	2	译名
舍根	示剑	79	译名
舍沙客	示沙克	2	译名
舍法提雅	示法提雅	15	译名
舍特	塞特	16	译名
舍玛	示玛	8	译名
舍玛亚	示玛	1	译名
舍玛雅	示玛雅	43	译名
舍玛黎雅	示玛利雅	4	译名
舍瑟	示筛	3	译名
舍瓦	示法	1	按语境区分译名
舍番	示番	2	译名
舍米辣摩特	示米拉末	4	译名
舍米达	示米大	4	译名
舍纳匝尔	示拿萨	1	译名
舍罗摩特	示罗摩	2	译名
舍罗米	示罗米	1	译名
舍罗米特	示罗密	9	译名
舍肋士	示利斯	1	译名
舍肋夫	沙列	2	译名
舍肋彼雅	示利比	1	译名
舍肋米雅	示利米雅	10	译名
舍肋革特	沙利基	1	译名
舍贝尔	示别	1	译名
舍路米耳	示路蔑	5	译名
舍达波则乃	示他波斯乃	4	译名
舍阿尔雅叔布	施亚雅述	1	译名
舍阿耳	示押	1	译名
舍非	示非	1	译名
舍默尔	撒玛	2	按语境区分译名
舍默尔	沙麦	2	按语境区分译名
舍默得	沙麦	2	译名
舍默贝尔	善以别	1	译名
般雀	本丢	3	译名
色乃	西尼	1	译名
色依尔	西珥	43	译名
色依辣	西伊拉	1	译名
色加加	西迦迦	1	译名
色勒得	西烈	3	译名
色古布	西割	3	译名
色奴阿	哈西努亚	1	译名
色威乃	色弗尼	2	译名
色娄基雅	西流基	2	译名
色尔爵保禄	士求保罗	1	译名
色尼尔	示尼珥	4	译名
色巴	西巴	2	按语境区分译名
色巴	西巴	3	译名
色弗堂	拾弗但	1	译名
色拉	西拉	3	译名
色敖陵	梭琳	1	译名
色法尔	西发	1	译名
色法瓦因	西法瓦音	7	译名
色法辣得	西法拉	1	译名
色玛革雅	西玛迦	1	译名
色班	示班	1	译名
色突尔	西帖	1	译名
色纳阿	西拿	3	译名
色肋得	西列	2	译名
色贡多	西公都	1	译名
色辣雅	西莱雅	22	译名
色辣黑	西拉	3	译名
色雇	西沽	1	译名
色鲁格	西鹿	7	译名
艾乃阿	以尼雅	2	译名
艾农	哀嫩	1	译名
艾斯德尔	以斯帖	61	译名
芍亚	书亚	1	译名
芍勒克	梭烈	1	译名
芍巴客	朔法	2	译名
芍巴布	朔罢	4	译名
芍巴耳	朔巴	9	译名
芍彼	朔比	1	译名
芍拜	朔拜	2	译名
芍法客	朔法	2	译名
芍罕	朔含	1	译名
芍贝克	朔百	1	译名
芍默尔	朔默	3	译名
芍默龙	撒马利亚	1	译名
苏撒纳	苏撒拿	19	译名
苛则巴	哥西巴	1	译名
苛尼雅	哥尼雅	2	译名
苛次彼	哥斯比	2	译名
苛纳尼雅	歌楠雅	3	译名
苛耳曷则	各荷西	1	按语境区分译名
苛耳曷则	谷何西	2	按语境区分译名
苛辣匝因	哥拉汛	2	译名
若望	约翰	79	译名
若瑟	约瑟	87	按语境区分译名
若瑟	约瑟	251	译名
若瑟	约西	4	按语境区分译名
若翰	约翰	102	译名
若苏厄	约书亚	213	译名
葛法翁	迦百农	16	译名
薛西斯	亚哈随鲁	34	译名
西乃	西奈	36	按语境区分译名
西乃	西奈	6	译名
西满	西门	79	译名
西默盎	西缅	38	按语境区分译名
西默盎	西缅	20	译名
西默盎	西面	3	按语境区分译名
诺	挪	4	按语境区分译名
诺加	挪迦	2	译名
诺厄	挪亚	68	译名
诺哈	挪哈	2	译名
诺夫	挪弗	7	译名
诺巴黑	挪巴	3	译名
诺布	挪伯	6	译名
诺得	挪得	1	译名
诺法黑	挪法	1	译名
诺达布	挪答	1	译名
诺阿	挪阿	4	译名
诺阿孟	挪亚们	1	译名
诺阿狄雅	挪亚底	2	译名
贝丹	比但	1	译名
贝乃贝辣克	比尼比拉	1	译名
贝乃雅干	比尼亚干	3	译名
贝则克	比色	3	译名
贝勒克雅	比利家	1	译名
贝勒基雅	比利家	9	译名
贝勒尼切	百尼基	3	译名
贝勒得	巴列	1	译名
贝勒得	比列	2	按语境区分译名
贝勒革雅	比利家	1	按语境区分译名
贝勒革雅	比利迦	3	按语境区分译名
贝匝肋耳	比撒列	9	译名
贝厄洛特	比录	4	译名
贝厄辣	备拉	1	按语境区分译名
贝厄辣	比拉	1	按语境区分译名
贝厄黎	备利	1	按语境区分译名
贝厄黎	比利	1	译名
贝塔	比他	2	译名
贝宰	比赛	3	译名
贝尔	比珥	3	译名
贝尔舍巴	别是巴	35	译名
贝尼奴	比尼努	1	译名
贝托宁	比多宁	1	译名
贝拉	比拉	16	译名
贝拜	比拜	7	译名
贝敖尔	比珥	11	译名
贝洛泰	比罗他	1	译名
贝洛特	比录	8	译名
贝洛达	比罗他	1	译名
贝洛雅	庇哩亚	5	译名
贝特加尔	伯甲	1	译名
贝特加德尔	伯迦得	1	译名
贝特加慕耳	伯迦末	1	译名
贝特勒加布	利甲家	1	译名
贝特勒曷布	伯利合	3	译名
贝特匝达	毕士大	1	译名
贝特厄登	伯伊甸	1	译名
贝特厄责耳	伯以薛	1	译名
贝特厄默克	伯以墨	1	译名
贝特史大	伯哈示他	1	译名
贝特哈兰	伯亚兰	2	译名
贝特哈南	伯哈南	1	译名
贝特商	伯善	6	按语境区分译名
贝特商	伯珊	3	按语境区分译名
贝特商	伯珊	3	译名
贝特培敖尔	伯毘珥	4	译名
贝特培肋特	伯帕列	2	译名
贝特基耳加耳	伯吉甲	1	译名
贝特塔普亚	伯他普亚	1	译名
贝特尼默辣	伯宁拉	2	译名
贝特巴耳默红	伯巴力勉	1	译名
贝特巴辣	伯巴拉	2	译名
贝特帕责兹	伯帕薛	1	译名
贝特彼黎	伯比利	1	译名
贝特敖斐辣	伯亚弗拉	1	译名
贝特族尔	伯夙	20	译名
贝特曷革拉	伯曷拉	3	译名
贝特曷龙	伯和仑	20	译名
贝特法革	伯法其	3	译名
贝特狄贝拉塔因	伯低比拉太音	1	译名
贝特玛尔加波特	伯玛嘉博	2	译名
贝特玛阿加	伯玛迦	3	译名
贝特米罗	米罗	3	译名
贝特耳	伊勒伯特利	1	译名
贝特耳	伯特利	79	译名
贝特耶史摩特	伯耶施末	1	按语境区分译名
贝特耶史摩特	伯耶西末	3	按语境区分译名
贝特肋巴敖特	伯利巴勿	1	译名
贝特肋恒	伯利恒	3	译名
贝特舍默士	伯示麦	22	译名
贝特赛达	伯赛大	7	译名
贝特辣法	伯拉巴	1	译名
贝特达贡	伯大衮	2	译名
贝特阿尔贝耳	伯亚比勒	1	译名
贝特阿市贝亚	亚实比	1	译名
贝特阿文	伯亚文	7	译名
贝特阿次玛委特	伯亚斯玛弗	1	译名
贝特阿纳特	伯亚纳	3	译名
贝特阿诺特	伯亚诺	1	译名
贝特阿辣巴	伯亚拉巴	6	译名
贝特革楞	伯哈基琳	2	译名
贝特默红	伯米恩	1	译名
贝狄雅	比底雅	1	译名
贝突耳	彼土利	1	按语境区分译名
贝突耳	彼土利	10	译名
贝突耳	比土力	1	按语境区分译名
贝索尔	比梭	3	译名
贝索德雅	比所玳	1	译名
贝纳雅	比拿雅	43	译名
贝耳	彼勒	25	译名
贝耳则步	巴力西卜	7	译名
贝耳沙匝	伯沙撒	8	译名
贝耳特沙匝	伯提沙撒	10	译名
贝腾	比田	1	译名
贝苛辣特	比歌拉	2	译名
贝责尔	比悉	5	译名
贝赛	比赛	2	译名
贝辣	比拉	3	译名
贝达得	比达	2	译名
贝里雅耳	彼列	1	译名
贝里雅达	比利雅大	1	译名
贝阿罗特	比亚绿	1	译名
贝阿里雅	比亚利雅	1	译名
贝革尔	比结	6	译名
贝黎	比利	1	译名
贝黎雅	比利亚	13	译名
责勒特	洗列	1	译名
责勒特沙哈尔	细列哈沙辖	1	译名
责勒达	洗利达	1	按语境区分译名
责勒达	西利拉	1	按语境区分译名
责南	洗楠	1	译名
责尔	侧耳	3	译名
责法尼雅	西番雅	10	译名
责法特	洗法	1	译名
责法达	洗法	1	译名
责波殷	洗扁	2	按语境区分译名
责波殷	洗扁	5	译名
责洛尔	洗罗	2	译名
责玛辣因	洗玛脸	2	译名
责玛黎	洗玛利	2	译名
责罗斐哈得	西罗非哈	11	译名
责肋克	洗勒	2	译名
责鲁阿	洗鲁阿	1	译名
责鲁雅	洗鲁雅	27	译名
责黎	西利	1	译名
费家	腓利门家	1	人名简称展开
费氏	腓利门	4	人名简称展开
费肋孟	腓利门	3	译名
赫兹赖	希斯罗	1	按语境区分译名
赫兹赖	希斯莱	1	按语境区分译名
赫兹龙	希斯仑	15	按语境区分译名
赫兹龙	希斯伦	5	按语境区分译名
赫兹龙	希斯伦	2	译名
赫则雍	希旬	1	译名
赫勒士	黑勒施	1	译名
赫勒特	哈列	1	译名
赫尔孟	黑门	18	译名
赫尔玛	黑马	1	译名
赫尔默斯	希耳米	1	按语境区分译名
赫尔默斯	黑米	1	按语境区分译名
赫市孟	黑实门	1	译名
赫市朋	希实本	39	译名
赫摩革乃	黑摩其尼	1	译名
赫斐尔	希弗	10	译名
赫斐漆巴	协西巴	1	译名
赫曼	希幔	16	译名
赫特	赫	27	译名
赫特人	赫人	37	译名
赫特隆	希特伦	2	译名
赫纳达得	希拿达	4	译名
赫耳凯	希勒恺	1	译名
赫耳卡特	黑甲	2	译名
赫耳巴	黑巴	1	译名
赫耳待	黑玳	3	译名
赫耳朋	黑本	1	译名
赫肋克	希勒	3	译名
赫肋兹	希利斯	5	译名
赫肋弗	希利弗	1	译名
赫肋得	希立	2	译名
赫色得	希悉	1	译名
赫蓝	以拦	1	按语境区分译名
赫蓝	希兰	5	按语境区分译名
赫蓝	希兰	1	译名
赫贝尔	希伯	2	按语境区分译名
赫贝尔	希别	4	按语境区分译名
赫贝尔	希别	1	译名
赫贝尔	希百	4	按语境区分译名
赫贝龙	希伯仑	61	按语境区分译名
赫贝龙	希伯仑	10	译名
赫贝龙	希伯伦	13	按语境区分译名
赫里	希里	2	译名
赫隆	希伦	4	译名
赫革	希该	6	译名
赫默丹	欣但	1	译名
赫齐尔	希悉	2	译名
起名叫“争论”	起名叫“埃色”	1	意译专名
起名叫“仇恨”	起名叫“西提拿”	1	意译专名
起名叫“宽大”	起名叫“利河伯”	1	意译专名
起名叫“悲泣的橡树”	起名叫“亚伦巴古”	1	意译专名
起名叫“誓约”	起名叫“示巴”	1	意译专名
起名叫：“耶和华自会照料”	起名叫：“耶和华以勒”	1	意译地名
路丁	路低	1	按语境区分译名
路丁	路低	1	译名
路丁	路德	2	按语境区分译名
路基约	路求	2	译名
路希特	鲁希	2	译名
路得	路德	5	译名
路次	路斯	8	译名
载伯德	西庇太	12	译名
辣卡特	拉甲	1	译名
辣哈布	喇合	8	按语境区分译名
辣哈布	拉哈伯	4	按语境区分译名
辣富	拉孚	1	译名
辣巴	拉巴	13	译名
辣巴特	拉巴	1	译名
辣待	拉代	1	译名
辣摩特	拉末	7	译名
辣摩特基肋阿得	基列的拉末	20	译名
辣法	拉法	10	译名
辣玛	拉玛	40	译名
辣玛特米兹帕	拉抹米斯巴	1	译名
辣玛肋希	拉末利希	1	译名
辣米雅	拉米	1	译名
辣罕	拉含	1	译名
辣阿玛	拉玛	5	译名
辣阿米雅	拉米	1	译名
辣黑耳	拉结	60	译名
辣默色斯	兰塞	8	译名
达味	大卫	1178	译名
达尼尔	但以理	128	译名
达尼耳	但以利	1	按语境区分译名
达尼耳	但以理	2	按语境区分译名
达玛奴达	大玛努他	1	译名
达玛黎	大马哩	1	译名
达理阿	大利乌	25	译名
达纳	大拿	1	译名
达耳丰	达分	1	译名
达耳玛提雅	挞马太	1	译名
达贡	大衮	14	译名
达陡	达太	2	译名
迦拉达	加拉太	14	译名
酥苛特	疏割	3	译名
里刻希	利克希	1	译名
里基雅	吕家	2	译名
里息雅	吕西亚	28	译名
里狄雅	吕底亚	3	译名
里贝尼	立尼	9	译名
里贝纳	立拿	19	译名
里贝纳特河	希曷立纳河	1	译名
里达	吕大	4	译名
金乃通	近顿	3	译名
门纳	买南	2	译名
阿丁	亚丁	4	译名
阿丕约	亚比乌	1	译名
阿丕雅	亚腓亚	1	译名
阿乃尔	亚乃	3	译名
阿仓	阿散	1	译名
阿兰	亚兰	163	译名
阿兹孟	押们	3	译名
阿则卡	亚西加	7	译名
阿则黎耳	亚斯列	1	译名
阿刻辣宾	亚克拉滨	3	译名
阿剌伯	阿拉伯	13	按语境区分译名
阿剌伯	阿拉伯	14	译名
阿剌美	亚兰	4	译名
阿加尔	亚干	1	译名
阿加得	亚甲	1	译名
阿加格	亚甲	14	译名
阿加波	亚迦布	2	译名
阿勒约帕哥	亚略巴古	3	译名
阿勒达	亚哩达	2	译名
阿勒里	亚列利	3	译名
阿匝则耳	阿撒泻勒	4	译名
阿匝勒耳	亚撒利	1	按语境区分译名
阿匝勒耳	亚撒利	1	译名
阿匝勒耳	亚萨列	4	按语境区分译名
阿匝勒耳	亚萨烈	1	按语境区分译名
阿匝尼雅	亚散尼	1	译名
阿匝次	亚撒	2	译名
阿匝耳	亚萨	1	译名
阿匝里雅	亚萨利	2	译名
阿匝黎雅	亚撒利雅	52	按语境区分译名
阿匝黎雅	亚撒利雅	13	译名
阿匝黎雅	亚萨利雅	1	按语境区分译名
阿匝齐雅	亚撒细雅	1	按语境区分译名
阿匝齐雅	亚撒西雅	1	按语境区分译名
阿匝齐雅	阿撒细雅	1	按语境区分译名
阿协尔	亚设	47	译名
阿协耳	亚设	1	译名
阿南	亚难	1	译名
阿叔陵	亚书利	1	译名
阿古尔	亚古珥	1	译名
阿史玛	亚示玛	1	译名
阿哈依科	亚该古	1	译名
阿哈兹	亚哈斯	4	译名
阿哈勒尔	亚哈黑	1	译名
阿哈市塔黎	哈辖斯他利	1	译名
阿哈布	亚哈	101	译名
阿哈斯拜	亚哈拜	1	译名
阿哈次	亚哈斯	40	译名
阿哈瓦	亚哈瓦	3	译名
阿哈雅	亚该亚	10	译名
阿哈齐雅	亚哈谢	43	译名
阿商	亚珊	5	译名
阿培肋	亚比利	1	译名
阿基士	亚吉	21	译名
阿塔客	亚挞	1	译名
阿塔得	亚达	2	译名
阿塔洛特	亚他绿	2	按语境区分译名
阿塔洛特	亚他绿	1	译名
阿塔洛特	亚大录	1	按语境区分译名
阿塔洛特阿达尔	亚他绿亚达	2	译名
阿塔肋雅	亚大利	1	译名
阿塔薛西斯	亚达薛西	14	译名
阿塔辣	亚她拉	1	译名
阿塔里雅	亚他利雅	2	按语境区分译名
阿塔里雅	亚她利雅	15	按语境区分译名
阿塔陵	亚他林	1	译名
阿塔雅	亚他雅	1	译名
阿多兰	亚多兰	5	译名
阿多尼兰	亚多尼兰	1	译名
阿多尼干	亚多尼干	3	译名
阿多尼贝则克	亚多尼比色	3	译名
阿多尼责德克	亚多尼洗德	2	译名
阿多尼雅	亚多尼雅	30	译名
阿奴布	亚诺	1	译名
阿威	亚文	3	译名
阿威特	亚未得	2	译名
阿孟	亚们	19	按语境区分译名
阿孟	亚扪	124	按语境区分译名
阿孟	亚扪	17	译名
阿宁	亚念	1	译名
阿尔克	亚基	2	译名
阿尔农	亚嫩	25	译名
阿尔冬	押墩	1	译名
阿尔匝	亚杂	1	译名
阿尔哥布	亚珥歌伯	5	译名
阿尔基	亚基	6	译名
阿尔希颇	亚基布	2	译名
阿尔帕得	亚珥拔	2	译名
阿尔得	亚勒	1	译名
阿尔德	亚勒	3	译名
阿尔摩尼	亚摩尼	1	译名
阿尔摩阿布	摩押的亚珥	1	译名
阿尔特玛	亚提马	1	译名
阿尔特米	亚底米	5	译名
阿尔瓦得	亚发	3	译名
阿尔瓦得	亚瓦底	1	译名
阿尔赫劳	亚基老	1	译名
阿尔阿辣	亚大达	1	译名
阿尔难	亚珥难	2	译名
阿尼罕	阿尼安	1	译名
阿左尔	亚所	2	译名
阿左托	亚锁都	13	译名
阿巴冬	亚巴顿	1	译名
阿巴纳	亚罢拿	1	译名
阿巴陵	亚巴琳	6	译名
阿巴革达	亚拔他	1	译名
阿市刻隆	亚实基伦	17	译名
阿市培纳次	亚施毗拿	1	译名
阿市塔洛特	亚斯他录	7	译名
阿市塔特卡尔纳殷	亚特律加宁	1	译名
阿市多得	亚实突	22	译名
阿市托勒特	亚斯她录	7	译名
阿市瓦特	亚施法	1	译名
阿市纳	亚实拿	2	译名
阿市胡尔	亚施户	2	译名
阿市贝耳	亚实别	4	译名
阿市革纳次	亚实基拿	3	译名
阿希兰	亚希兰	3	译名
阿希厄则尔	亚希以谢	5	译名
阿希厄则耳	亚希以谢	1	译名
阿希托布	亚希突	3	译名
阿希托费耳	亚希多弗	20	译名
阿希摩特	亚希摩	2	译名
阿希撒玛客	亚希撒抹	3	译名
阿希曼	亚希幔	4	译名
阿希杨	亚希暗	1	按语境区分译名
阿希杨	亚现	1	按语境区分译名
阿希沙尔	亚希煞	1	译名
阿希玛兹	亚希玛斯	15	译名
阿希甘	亚希甘	20	译名
阿希突布	亚希突	18	译名
阿希约	亚希约	5	译名
阿希纳达布	亚希拿达	1	译名
阿希胡得	亚希忽	2	译名
阿希诺罕	亚希暖	7	译名
阿希路得	亚希律	5	译名
阿希辣	亚希拉	5	译名
阿希雅	亚希亚	4	按语境区分译名
阿希雅	亚希雅	19	按语境区分译名
阿希默肋客	亚希米勒	18	译名
阿帕得	亚珥拔	4	译名
阿帕殷	亚遍	2	译名
阿帕革沙得	亚法撒	11	译名
阿干	亚干	8	译名
阿当	亚当	2	译名
阿彼丹	亚比但	5	译名
阿彼兰	亚比兰	12	译名
阿彼厄则尔	亚比以谢	9	译名
阿彼厄责尔	亚比以谢	1	译名
阿彼叔亚	亚比书	7	译名
阿彼叔尔	亚比述	2	译名
阿彼塔耳	亚比她	2	译名
阿彼巴耳	亚比	1	按语境区分译名
阿彼巴耳	亚比亚本	1	按语境区分译名
阿彼布	亚笔	6	译名
阿彼沙格	亚比煞	5	译名
阿彼海耳	亚比亥	1	按语境区分译名
阿彼海耳	亚比孩	6	按语境区分译名
阿彼玛耳	亚比玛利	2	译名
阿彼瑟	亚比筛	26	译名
阿彼盖耳	亚比该	18	译名
阿彼突布	亚比突	1	译名
阿彼纳达布	亚比拿达	12	译名
阿彼耳	亚别	3	译名
阿彼肋乃	亚比利尼	1	译名
阿彼胡	亚比户	12	译名
阿彼诺罕	亚比挪庵	4	译名
阿彼达	亚比大	2	译名
阿彼雅	亚比	3	按语境区分译名
阿彼雅	亚比央	5	按语境区分译名
